Flight_ID,Passengers,Destination_Type,Origin_Type,Capacity,Bookings,Route,Flight_Duration,Hora_Salida_Redondeado,Month
0018fe498b5b61e2b320e880618de010,,MX Amigos y Familia,Ciudad Principal,220,,AW-AD,75.0,15,1
001b686522f2974e42ac65bcafef29f8,,Ciudad Principal,Ciudad Principal,186,,AW-AT,100.0,20,4
001b946694895b707f0868e2f684e225,,Ciudad Fronteriza,MX Amigos y Familia,240,,BC-BM,165.0,23,3
0021370a71862fc079c2e362ac6038cc,,MX Amigos y Familia,Ciudad Principal,186,,AO-BP,90.0,6,1
00218a71955e2dc6150f28fae37386cf,,MX Amigos y Familia,Ciudad Principal,180,,AW-AD,75.0,23,4
00221206c52f9c1e18bb26f34a636bad,,Ciudad Principal,Ciudad Principal,220,,AO-AT,85.0,8,2
0023b933db442dfa434f5ac262ac830f,,Ciudad Principal,MX Amigos y Familia,186,,BN-AW,100.0,22,3
0024377f7159c78ede2dada632e2ceef,,Ciudad Fronteriza,Playa,220,,AK-BM,115.0,16,1
00247d101bfed655afda2ce91f9a4d68,,MX Amigos y Familia,Ciudad Principal,186,,BA-BG,90.0,12,1
0024ba1a4157021f89d88ce839078625,,Ciudad Principal,MX Amigos y Familia,186,,BP-AO,95.0,21,2
002733a63782953b603d4333e7daecff,,MX Amigos y Familia,Playa,186,,AY-AL,140.0,18,3
002784a3c972c1b48b02cf20d1d0b964,,Ciudad Principal,MX Amigos y Familia,178,,BC-AW,90.0,9,2
002a1de75b83a1ca9bd84dfc73cd5a96,,Ciudad Fronteriza,Ciudad Principal,178,,AO-BM,130.0,8,4
002a9ecaeb8d119ed55ae9101d79161b,,Ciudad Principal,Ciudad Principal,178,,AO-AW,90.0,14,3
002b111711e73312d17caabf17a0ff62,,MX Amigos y Familia,Ciudad Principal,186,,AW-AD,75.0,23,4
002b6a46451042a786bfd3791f5fb517,,MX Amigos y Familia,Ciudad Principal,240,,AT-BO,105.0,6,2
002d97a43dd0aa727ec90af3901e20f3,,Ciudad Principal,Playa,240,,AK-AT,95.0,17,1
002e39188be12c8e382c9208df4d3019,,Ciudad Fronteriza,Ciudad Principal,178,,AO-AF,75.0,7,2
002fe7e3e4bf39faf9d5600c4247f5db,,Playa,MX Amigos y Familia,178,,BP-AK,170.0,8,4
00306615e63fe8868274c8854d4ce5f3,,Playa,Ciudad Principal,178,,AW-AK,200.0,13,3
003097afdf288dd1090f557c6f4889b3,,Ciudad Principal,Playa,240,,AY-AW,144.0,22,2
00320313883c3e942ac52f89be3127d6,,Ciudad Principal,Ciudad Principal,240,,AT-AW,95.0,10,1
0033aee0942a33f35265c537eb5d00c9,,Ciudad Principal,Playa,178,,AK-AW,95.0,22,5
003494028eec3e74294dd8226675bde0,,Ciudad Principal,Playa,186,,AK-BA,90.0,14,3
0034f9f518782f77db559387bf239bde,,Ciudad Principal,Ecoturismo,186,,BL-AT,100.0,23,4
003515d29daf7918c7af4c2b08cba58f,,Ciudad Principal,Playa,180,,AQ-AT,90.0,15,1
0037dae0ee5874b7dc8cbec9d1bd38af,,Ciudad Principal,MX Amigos y Familia,186,,BF-AW,85.0,6,4
00396c1db1c93a9b819b0837f5de9aec,,MX Amigos y Familia,Ciudad Fronteriza,186,,BM-AD,230.0,10,4
00398c8a70a9d7cd2a2a14fcf01f8f56,,Ciudad Fronteriza,Ciudad Principal,240,,AT-BM,110.0,21,3
0039e916a632212665c697aabbf0bf50,,Ciudad Principal,Playa,186,,AK-AT,90.0,23,3
0039f7e7feb685a7f8e66eb15ea301a3,,Ciudad Principal,Ciudad Principal,178,,AO-AW,90.0,6,3
0039fea81b6e362da01f61db27c154eb,,MX Amigos y Familia,Ciudad Principal,186,,AO-BP,90.0,6,2
003a08815913e6185c5cf99cb26aefb0,,MX Amigos y Familia,Ciudad Principal,230,,AT-BQ,90.0,20,4
003e1a6389d0eff1a100de5f33c4b3d6,,Ciudad Principal,Ciudad Fronteriza,186,,BM-AT,260.0,1,4
003ea6203417b205a060f16bb2ed9b35,,Ciudad Principal,Ciudad Principal,186,,AT-AW,105.0,9,4
0040cc9711e64e969f4f485b95bcc3b5,,Ciudad Principal,Playa,178,,BT-AW,100.0,15,4
004128da83d9a582d8105dd8edfa75cf,,Ciudad Fronteriza,Ciudad Principal,180,,AW-BM,120.0,13,4
004285d71475035f40efcd7b166a898f,,MX Amigos y Familia,Ciudad Principal,178,,AO-AP,70.0,19,4
00439ad37ea08ed6aa8699d53726ae74,,MX Amigos y Familia,Playa,178,,AK-AL,155.0,13,4
0045a565b4f133605ae2da3fc5a77b48,,Ciudad Principal,MX Amigos y Familia,186,,BP-AO,95.0,8,4
0045c0bdae98e81331af28de8656c491,,Ciudad Fronteriza,Playa,240,,BD-BM,115.0,16,3
0046b8d1416b95014d2c08589f666d6b,,Ciudad Fronteriza,MX Amigos y Familia,240,,AV-BM,85.0,6,2
0047d75f957c352ed47c1035b955dee0,,MX Amigos y Familia,Ciudad Principal,186,,AO-BP,85.0,17,2
004a0bf7099448f713066de0fc404dce,,Ciudad Principal,Ecoturismo,240,,AU-AT,125.0,1,4
004a2d58ca49bbe9d456715d288c27ae,,MX Amigos y Familia,Ecoturismo,186,,AU-BN,120.0,14,3
004aeca09fcc65c3a9b2625baa4a48aa,,Ciudad Principal,Playa,178,,AK-AW,90.0,22,2
004cfe036273fca659dea83932170372,,Ciudad Principal,Playa,186,,BH-AO,150.0,7,1
004fae1c7bc0a832bae3d92b401a883b,,Ciudad Principal,Ciudad Principal,186,,AT-AW,105.0,7,4
00503449359aa0ecc65a75f11544e945,,Ciudad Principal,Ecoturismo,220,,AU-AO,150.0,6,2
0053301229bfe70025d4ae8a0e5e6438,,Ciudad Principal,Playa,240,,BD-AT,100.0,7,4
0054c9e355c4a21979642da08b4153b2,,Ciudad Principal,MX Amigos y Familia,178,,BC-AW,95.0,9,4
0055946c94df5d7f8c4fae413ffaffcd,,Playa,Ciudad Principal,220,,AW-BH,60.0,8,4
0059b442446d792aa60a7129031dfda9,,Ciudad Principal,Playa,186,,AK-AT,90.0,20,3
005ca19eadab0becd0fa6f380fe1744c,,Ciudad Principal,Ciudad Principal,220,,AO-AT,90.0,18,1
005ed785a749bd53bd7c00eee27a28f2,,Ecoturismo,MX Amigos y Familia,240,,BF-AU,115.0,19,1
0061482cf7a7cf7372fa3ce0a02e66c3,,Ciudad Principal,Ciudad Principal,178,,AO-AW,90.0,6,2
00618f71510f34cf85b96fade9f842ec,,Playa,Ciudad Principal,186,,AT-AK,195.0,19,1
006289798be8d466323c2bcc2fcb21d8,,Ciudad Principal,MX Amigos y Familia,178,,BC-AW,95.0,22,4
0066a4a29e70b2488ce928d617c15358,,Ciudad Fronteriza,MX Amigos y Familia,186,,AD-BM,135.0,23,3
006825db85c142505baff75df246745d,,Ciudad Principal,Playa,178,,AK-AW,105.0,14,4
0069188b66b5811d3c8ccf4e06335180,,Ciudad Principal,Ciudad Principal,180,,AO-AT,85.0,6,5
006b658cff95d5af0d28e56fb12dd66f,,MX Amigos y Familia,Ciudad Principal,178,,AW-BN,85.0,12,3
006b8aff74af683331c8cc095eebaef6,,Ecoturismo,Playa,186,,AK-BL,45.0,13,2
006b9cdb111fa19d4d7a916f2e1db1a3,,Ciudad Principal,MX Amigos y Familia,180,,BQ-AT,100.0,23,3
006bba8a7f48e98eeedd560a6d6d0f36,,Ciudad Principal,Ciudad Principal,240,,AT-AW,105.0,23,4
006cb81fd89a5916286c2d4d0866bf2e,,Ciudad Principal,Ciudad Fronteriza,186,,BM-AO,230.0,11,3
006cbb142e98d4f11536a5d39ff6b342,,Ciudad Principal,Ciudad Fronteriza,240,,BM-AT,259.0,20,3
00721c71133a081a3fa981e4d0375e2e,,Ciudad Principal,Playa,178,,BS-BA,75.0,17,4
007496caf4c0bd8a36deea7ae0d1d421,,Ciudad Principal,Ciudad Principal,240,,AW-AT,100.0,12,4
0077c775d35f288470deebf54d2f0ff9,,Ciudad Fronteriza,MX Amigos y Familia,240,,AJ-BM,75.0,21,1
007b2306d788eee008dbb05c4f4aee1f,,Ecoturismo,Ciudad Principal,186,,BA-BB,65.0,9,2
007bfcb0b840820654e8d7b7820fd48d,,Ciudad Fronteriza,Ciudad Principal,240,,AT-BM,105.0,15,1
007c20f532197299322664738403c74b,,Playa,Ciudad Principal,178,,AW-AK,200.0,14,4
007c8834b25ed1d9b4b7adbff952771f,,Playa,Ciudad Principal,220,,AW-AK,200.0,6,1
007d4d0e320a29387a459c78f38a4eb0,,Ciudad Principal,MX Amigos y Familia,186,,BP-AW,100.0,20,5
007e211b1bab2f8850bbe8b14fa54ab0,,MX Amigos y Familia,Ciudad Principal,186,,AW-AV,85.0,20,4
007f1a7070cd6b3f1978436a30baed15,,Playa,Ciudad Principal,180,,BA-BD,90.0,10,4
008060fa68e16b000f679e17f86a53f6,,Ciudad Principal,Ciudad Principal,186,,AO-AT,85.0,6,1
00824115d74be7d915ddc7e3f53a4360,,Ciudad Principal,Ciudad Principal,240,,AT-AW,95.0,8,1
008466d85b252e65c974f7495e7a58b2,,MX Amigos y Familia,Ciudad Principal,240,,AW-BN,85.0,21,4
0086d994780c54c10cc57655695ce519,,MX Amigos y Familia,Playa,180,,AK-BF,95.0,12,3
0089367ed91c89617a8db6be171dafd5,,Playa,Ciudad Principal,220,,AT-AK,200.0,6,3
008bf8570e0df22b4dda20a159f0aaaf,,Ciudad Principal,Ciudad Principal,186,,AO-AT,90.0,16,1
008ca92d5698caa3bc55f58e20854f10,,MX Amigos y Familia,Ciudad Principal,180,,AW-BN,85.0,21,1
008e0d647dac37ab2aa3d57635129403,,MX Amigos y Familia,Ciudad Principal,178,,AO-AP,70.0,19,4
008e8a379c1c4453a4f3e5f9f68ae3eb,,Ciudad Principal,MX Amigos y Familia,220,,BN-AW,100.0,6,4
008ee1dc6f22ca6ac63980f55df854b2,,Playa,Ciudad Principal,178,,BA-AQ,75.0,6,3
008ef8f9839769b434fec5d7d8751a4f,,MX Amigos y Familia,Playa,180,,AR-AJ,50.0,19,1
008f7c5d66a620059141c1e85683bea6,,Ciudad Principal,MX Amigos y Familia,178,,BN-AW,100.0,14,3
0091e7217ddeb4bbbb84474cf4e36e93,,Ciudad Fronteriza,Ciudad Principal,240,,AO-BM,130.0,6,3
0092a585dabec55153201a86e010acd2,,MX Amigos y Familia,Ciudad Fronteriza,240,,BM-BC,335.0,16,1
00966beec02e4d2e69e50378b2b79f1b,,Playa,MX Amigos y Familia,186,,BP-AK,170.0,9,1
00973b9bb9faff4aae13788827bb5576,,Ciudad Fronteriza,Ciudad Principal,180,,BA-AF,150.0,18,3
00984ab3871286eefe742c372976d597,,Ciudad Principal,MX Amigos y Familia,186,,BN-AW,100.0,22,3
0098e1e1cac91d953d2500914f663e5d,,Ciudad Principal,Ciudad Principal,180,,AO-AT,85.0,11,2
00998dac1af954649f39729a71181cef,,Ciudad Principal,Ecoturismo,240,,AU-AT,125.0,22,1
009ac6460125d34f953dce944df9e835,,MX Amigos y Familia,Ciudad Fronteriza,240,,BM-AJ,120.0,11,3
009b0996388bdfccd38eed10e3ef16ca,,Ciudad Principal,Playa,178,,AK-AW,95.0,22,3
009c11d142c27628d03c05a1304e73fd,,MX Amigos y Familia,Ciudad Principal,240,,AW-BN,85.0,9,4
00a10103299005391a33ac714e51e24e,,Ciudad Principal,Playa,178,,AK-AW,95.0,13,3
00a2c4d16f44a93682b24669b80baea8,,Ciudad Fronteriza,Playa,186,,AK-AF,170.0,13,4
00a4a69ac94a76cedeb2c369b3d28f82,,Ciudad Fronteriza,Ciudad Principal,186,,AT-BM,170.0,21,4
00a60631c9bba9d92ef3f61d8c0cc14d,,MX Amigos y Familia,Ciudad Principal,186,,AO-AL,110.0,20,2
00a7ba32c6bbb77a2639ea6e841fc62b,,Ciudad Principal,Playa,220,,AK-AW,105.0,13,4
00a8b528eb496878deabb02d8908b740,,Ciudad Principal,MX Amigos y Familia,180,,BJ-AW,70.0,23,2
00a8bbbf83c9d2cccb30d90006622e52,,Playa,Ciudad Principal,240,,AT-AK,200.0,13,1
00a959367f75473120855e2504b164e6,,Ciudad Fronteriza,Ciudad Principal,178,,AO-AF,135.0,18,3
00aa5c07518914121824b539cf07c5b9,,Ciudad Principal,Ecoturismo,240,,AU-AT,125.0,9,1
00ac8ca438af3e57d87e4d7ee6477c94,,Playa,MX Amigos y Familia,178,,AL-AK,240.0,8,4
00afd09f1160dbaf1c8ea0a5ba85d965,,MX Amigos y Familia,Ciudad Principal,186,,BA-BG,90.0,12,2
00b0a321c4bc627d929cb0ae7537716e,,Ciudad Principal,Ecoturismo,220,,AU-AO,150.0,6,1
00b2731272abd8711aea686a7ed08afd,,MX Amigos y Familia,Playa,178,,AK-AD,105.0,17,4
00b2c02b6e80651e1e9b6b95063ad226,,MX Amigos y Familia,Ciudad Fronteriza,240,,BM-AV,295.0,0,2
00b34e21873b2269c7675821bd252ec5,,Ciudad Principal,Ciudad Principal,220,,AW-AT,100.0,16,3
00b619b0069da5d4624ec4216ba0bf03,,Playa,Ciudad Principal,240,,AT-AK,200.0,10,1
00b6c857d7e22805bc2d7b8676b877a1,,MX Amigos y Familia,Playa,186,,AK-BG,80.0,8,1
00b7b0d4fa69597ded7a92ddfd5f106d,,Ciudad Principal,Playa,186,,AY-AW,145.0,13,4
00b993f28f075b3006c405d6b670abd6,,Ciudad Principal,Ciudad Principal,186,,BA-AO,75.0,21,2
00babf251e0fd1a70f3b80ebfde73b69,,Playa,Ciudad Principal,186,,AT-BS,70.0,6,3
00bc2dc188c49032963662fbc77924b0,,Ciudad Principal,Ciudad Principal,220,,BA-AO,75.0,6,4
00bc910c1641e9976357ac5827bd0198,,Ciudad Principal,MX Amigos y Familia,186,,BC-AO,80.0,14,3
00bda19f9bc82c181443bbb5f39af38f,,MX Amigos y Familia,Ciudad Fronteriza,240,,BM-AJ,120.0,7,3
00c20bd238623cb782502582b7ecb357,,MX Amigos y Familia,Ciudad Principal,220,,BA-AL,130.0,18,4
00c31a84d72df787398925d02535984a,,Ciudad Fronteriza,MX Amigos y Familia,186,,AD-BM,75.0,7,2
00c7070db755afeee3ac3df48da1a92b,,Playa,Ciudad Principal,180,,AT-AK,195.0,22,4
00c82d407bb943c6b1e518b008a28b3a,,Ciudad Fronteriza,Ciudad Principal,178,,AW-BM,65.0,7,3
00c855db768f3054deb3745a0aa32ae0,,Ciudad Principal,Ciudad Principal,220,,AT-AO,85.0,16,3
00caff3168e7ca2a5b3da61ea54883a9,,MX Amigos y Familia,Ciudad Principal,240,,AW-AL,85.0,22,1
00cbc65ed3ae91b65a86789ab6f7d9cd,,Ciudad Principal,Ciudad Fronteriza,240,,BM-AO,230.0,18,5
00cc79f3d2d31d19aed4499a7438e33c,,MX Amigos y Familia,Ciudad Principal,186,,AW-AD,75.0,6,4
00ce48ce0a9729633b58c040c01b2cba,,Ciudad Principal,Playa,240,,AK-AT,95.0,17,2
00d0d0c44e03782637af5e997f14d8ba,,Playa,Ciudad Principal,186,,AT-AK,200.0,9,3
00d24112888ad79834faa441b940c13c,,Playa,MX Amigos y Familia,240,,AL-AK,245.0,8,2
00d2ec569cce288db73e55dff1edea77,,MX Amigos y Familia,Ciudad Fronteriza,186,,BM-AV,295.0,0,1
00d4862ddd324ef4ee28910089355cb3,,Playa,MX Amigos y Familia,186,,AD-AK,210.0,15,1
00d6144236c753db275132f165a7db24,,Playa,Ciudad Principal,220,,AT-AY,45.0,11,2
00d75e8d2b85ffa97cc3851618d9d0ba,,Ecoturismo,Ciudad Principal,220,,AT-BB,70.0,11,4
00d819571a6a5f9ee9058e0bfda09912,,Ciudad Fronteriza,Playa,240,,BD-BM,55.0,16,2
00d8397cae1affb4af354bc74eb2d01c,,Ciudad Principal,MX Amigos y Familia,186,,AL-AO,105.0,23,3
00d966eea8b6ef84082786e4d37b0d8d,,Ciudad Principal,Ciudad Fronteriza,186,,AF-AO,190.0,20,1
00de8f23d653fd0c7a73d0cc81033fc8,,Ciudad Principal,MX Amigos y Familia,240,,AD-AW,80.0,6,1
00deb6cf8a01ee354326051676320e54,,Ciudad Principal,Ciudad Fronteriza,240,,AF-BA,150.0,10,4
00e1addc0cd9f001515c5e1ed5f52154,,Ciudad Principal,Ciudad Fronteriza,186,,BM-AO,290.0,0,2
00e1e6d57de0b5577d230b7bae16212d,,MX Amigos y Familia,Ciudad Principal,178,,AW-BK,140.0,7,4
00e410789e3231ffe3ddd0ca3fdde4ba,,Ciudad Principal,Ciudad Fronteriza,178,,BM-AW,220.0,20,4
00e4dcf3b2bf6aac7f680776c674705b,,Ciudad Principal,Playa,180,,AK-AT,80.0,23,1
00e54a1d76eb8c02e6aa2eb3f35cdaa2,,Playa,Ciudad Principal,178,,AW-BD,95.0,14,4
00e567b7521c0c6509c78bf7d58173c6,,Playa,Ciudad Principal,240,,AT-AQ,80.0,13,1
00e61745bd2b48fc73104b2f541a114d,,Playa,Ciudad Principal,240,,AW-BT,195.0,10,3
00e6d7e3608681d922e3853cd9ca1499,,Ciudad Principal,MX Amigos y Familia,178,,AP-AW,175.0,21,5
00e80c7b3093b43b679a808ed86f0556,,Ciudad Principal,Ciudad Principal,186,,AO-AW,90.0,19,1
00e87389dc1f7db11194395ba482ec28,,Ciudad Fronteriza,Playa,240,,BD-BM,115.0,16,3
00e99c983e05ecaa6ff3e6c273c34d69,,Ecoturismo,MX Amigos y Familia,240,,BQ-AU,65.0,14,1
00e9bb8582438a1efb0f9bbe3fcf51f8,,Playa,MX Amigos y Familia,186,,BP-AK,170.0,18,1
00ea9306e7029ea054f9961b4bf65b37,,Ciudad Principal,Playa,180,,BD-AO,55.0,18,5
00eb04fdf9b54bb406fccec60e07597f,,Ecoturismo,MX Amigos y Familia,240,,BP-AU,85.0,14,2
00eb6d47ed9eff147ea9957bda451379,,Ciudad Principal,Playa,220,,AY-AT,170.0,12,3
00eb7b3565bde2f3ba589dfc955d6bfe,,Playa,Ciudad Principal,186,,AO-AK,225.0,17,3
00ee355b32d54418dfbcd8963d85d2ff,,Playa,Ciudad Fronteriza,240,,BM-AK,375.0,9,4
00ee8c3d65c772305bc608bc2a4f57b6,,MX Amigos y Familia,Ciudad Principal,220,,AW-AP,70.0,7,1
00f093f7ed83eba97156083a61d22193,,Ciudad Principal,Ecoturismo,240,,AU-AW,135.0,6,3
00f0f1fac5f6087b3134a0878cb32ab0,,Ecoturismo,Ciudad Principal,240,,AT-AU,115.0,6,4
00f27b1c110883c89e9056016f5e6d6c,,MX Amigos y Familia,Ciudad Principal,178,,AW-BP,95.0,6,2
00f54eb61d3ac4d2ff6f0558dce4aad9,,Ciudad Principal,Playa,220,,BD-AT,95.0,17,2
00f577993a99eb74cc8dfc80494d35fe,,Playa,MX Amigos y Familia,186,,BC-AK,185.0,15,1
00f5b9d1f9a55cc20b06bc71359f83b0,,Ciudad Fronteriza,Ciudad Principal,178,,AW-AF,110.0,19,3
00f617f6dc307f4fa50af95ff14b9188,,Ciudad Principal,Ciudad Principal,178,,AW-AO,90.0,6,1
00f630ed2cfe70a296bce080925dd4d9,,Ciudad Principal,Playa,240,,BH-AW,165.0,16,5
00f6909d6ed795287452ea028864888f,,MX Amigos y Familia,Playa,186,,AK-BJ,65.0,19,2
00f6a51a5f0b8e27388982fd6c40e514,,MX Amigos y Familia,Playa,180,,AK-BF,95.0,14,5
00f770187642217b59a97ea684677071,,Ciudad Principal,Playa,220,,AY-AW,145.0,18,1
00fca8a08275f5ddd03654bb8404d618,,MX Amigos y Familia,Ciudad Principal,180,,AW-AD,75.0,23,5
00fe44564dd2090a917ff55884fe5d62,,Playa,Ciudad Principal,240,,AT-BD,100.0,17,3
00ff456bb4a744c46eb3e2783df5681b,,Playa,Ciudad Principal,240,,AT-AK,200.0,10,1
0100ee0ef01a58d66e319da6e71925f1,,Ecoturismo,Ciudad Principal,240,,AO-AU,135.0,22,1
0101d622932a333ea647fdc974b70700,,Ciudad Principal,Ciudad Principal,186,,AO-BA,75.0,6,2
010283eb6ee095f9b267444ea4d06af1,,Ciudad Principal,Ciudad Principal,178,,AO-AW,90.0,14,3
01038be989ab361c1082556a3fbbcc8e,,Ciudad Principal,MX Amigos y Familia,178,,AP-AW,175.0,21,2
0103c3a4979c5311f6f6680e85424704,,Playa,Ciudad Fronteriza,240,,BM-BD,220.0,10,4
01047a3a8150e62a3f46160b5a37e78b,,Ciudad Principal,Ciudad Principal,186,,AO-AT,85.0,16,1
0104a2ab748ebd08f0efe6460796b826,,Ciudad Fronteriza,Ciudad Principal,240,,AO-BM,65.0,23,2
0105629dd25aa815c6962dadea0200a9,,Ciudad Principal,Playa,186,,AR-AO,155.0,13,1
0108e250c02e8ba01033cef0cdbae1d2,,Ciudad Fronteriza,Playa,240,,AY-BM,150.0,20,4
010dbb1db6b380387f06b80c2e555905,,Ciudad Principal,Ciudad Principal,178,,AO-AW,90.0,6,4
010e9dfe241b561da79c08d0b4a21833,,Ciudad Principal,Ciudad Principal,220,,AW-AT,100.0,10,2
011029e6eaba95f20705c07980a38969,,Playa,MX Amigos y Familia,240,,BO-BH,30.0,16,2
0112cf1780b6457c59e2d3dab20def2b,,Ecoturismo,Ciudad Principal,236,,AT-AU,115.0,6,3
01159e6ebbf67a3d407f1b8597f9252b,,Ciudad Principal,Ecoturismo,186,,BL-AO,125.0,13,5
01161c7a6a1ffcfaccee9b4c32327ba0,,Ecoturismo,Ciudad Principal,220,,AT-AU,110.0,6,2
011716f4ca5338ca282da099bf17b3ed,,Ciudad Fronteriza,Ciudad Principal,220,,AW-AF,105.0,6,3
0117e974509616732a2bbf7dea4f5a5f,,Ciudad Principal,Ciudad Principal,178,,AW-AO,90.0,12,4
01199870939d0b5da5b297ffc336f852,,Ciudad Principal,Ecoturismo,240,,AU-AO,150.0,6,2
011dbb177fdb8d19e54a24338b74d51e,,MX Amigos y Familia,Ciudad Principal,186,,AO-BP,85.0,20,2
011e443b0f512b8180da475dfe18082a,,Ciudad Principal,Ciudad Principal,186,,AO-AT,85.0,16,1
011e9935d33a88a6c80bb279d109cec3,,MX Amigos y Familia,Ciudad Principal,186,,AW-BF,80.0,8,4
011efbf0e1d9c1d2ab835d75630b92ca,,Ciudad Principal,Ciudad Principal,240,,AT-AW,100.0,18,2
0121b9bb235410609e21e6f3fb7f914a,,Ecoturismo,Playa,186,,AK-BL,45.0,13,1
0121cc43ffcddec52071f49d9665f40b,,Ciudad Principal,Playa,178,,AR-AO,155.0,13,4
012755a5c96c016a8def7dc15b8aa50d,,Ciudad Principal,MX Amigos y Familia,240,,BJ-AW,70.0,16,1
0128b46f468b20886078ce293b6a2627,,Playa,Ciudad Principal,178,,AO-AR,40.0,12,3
012900ed93dff85b5a487b55858198d4,,Playa,Ciudad Principal,240,,AT-BH,85.0,14,5
0129063daac1ba491d72e122d027a8e4,,Ciudad Principal,Playa,186,,BT-AO,115.0,11,1
01299606fa46b43446f7cb1eea55fd4a,,MX Amigos y Familia,Ciudad Principal,220,,AW-BC,95.0,6,1
012aa97c9b0cf9367e62cdbf4923ff05,,Ciudad Fronteriza,Ciudad Principal,220,,AW-AF,50.0,6,2
012da33b00e5680e5128255b5e23c86f,,Playa,Ciudad Principal,180,,AT-AK,200.0,8,4
01304e4d01a77312354eccd5b9ca339b,,MX Amigos y Familia,Playa,240,,BH-BF,165.0,13,4
013098573576431ad743204c3feb9da1,,Playa,Ciudad Principal,180,,BA-BT,195.0,14,3
01317e460b0b594752e0b57a1ce060a7,,Ciudad Principal,Ecoturismo,180,,BL-AT,100.0,23,4
0131f424b4c850028269bc9789c369e3,,Ciudad Principal,Ciudad Principal,178,,AO-AW,90.0,14,2
01329759c6a3e2b681fa2140fa4de86b,,MX Amigos y Familia,Ciudad Principal,178,,AO-BQ,115.0,6,2
0132f0e0ad500eab45ed9ff32224197b,,Playa,Ciudad Principal,220,,AT-BE,75.0,12,2
013367bce4e3e76b2fb6eb4dd24014ed,,Ciudad Principal,Ciudad Principal,186,,BA-AO,75.0,14,3
0134d318c0961fc5f95fc378aced17cd,,Playa,Ciudad Principal,186,,BA-AK,195.0,13,3
013597f7850ac2edf18ec2ab5f79ef0c,,Ciudad Principal,Playa,186,,AK-BA,85.0,16,4
0135ff0f6f5764c347177c73073cfe5c,,Ciudad Principal,Ciudad Principal,180,,AW-BA,90.0,19,3
01361c8d3e3d8b82d800646ff0863f26,,Ciudad Principal,Ciudad Principal,178,,AW-AT,100.0,5,2
013939fb20f32a7719a1157d077f0cbf,,Ciudad Fronteriza,Ciudad Principal,178,,AO-AF,135.0,18,4
013b276ad13ec3370fdf7006555c62c2,,MX Amigos y Familia,Ciudad Principal,180,,AW-BF,80.0,6,3
013b2eafbd398024ddadbf10bbac542f,,MX Amigos y Familia,Playa,186,,AK-AD,95.0,20,1
013b494a376b88dc77ff14839a704494,,Playa,MX Amigos y Familia,180,,BQ-AK,155.0,16,3
013b9a992be19a73fca3faea4845710d,,Ecoturismo,Ciudad Principal,220,,AT-AU,110.0,6,2
013ba5b285c8f840f02c6b9bafe37453,,Ciudad Principal,Ciudad Fronteriza,240,,BM-BA,325.0,17,2
013c18796acbcbadc427a5876d97509e,,MX Amigos y Familia,Ciudad Fronteriza,180,,AF-AD,125.0,18,4
013c7a3d758769e0d0af28f49026a687,,Ciudad Principal,Playa,240,,AK-AW,90.0,13,1
013d917e63546039613ef4bb7e346d6b,,Playa,Ciudad Principal,178,,AW-AK,195.0,17,4
013dcd8d282d206d16b6293db8050f0a,,Ciudad Principal,Ciudad Fronteriza,178,,BM-AO,290.0,0,2
