Aeronave,Destination_Type,Origin_Type,Capacity,Passengers,Bookings,Route,STD_Month,STA_Month,STD_Block,STA_Block
XA-VAT,3,1,186,,,4,1,1,9,10
XA-VYB,3,1,180,,,9,3,3,7,8
XA-VIE,3,1,186,,,10,2,2,11,14
XA-VXG,2,1,240,,,7,1,1,7,8
XA-VXO,2,4,240,,,15,4,4,14,16
XA-VIX,3,1,186,,,10,3,3,11,14
XA-VAP,2,1,186,,,7,3,3,6,8
XA-VXL,2,2,240,,,2,3,3,1,5
XA-VAY,3,3,186,,,5,4,4,18,19
XA-VII,3,1,186,,,8,4,4,7,8
9H-SWJ,3,1,178,,,21,2,2,9,10
9H-SWF,3,1,178,,,6,5,5,13,13
XA-VXP,2,1,240,,,7,2,2,6,8
9H-MLV,3,1,178,,,4,2,2,9,10
XA-VBT,2,1,220,,,7,2,2,6,8
XA-VYA,1,1,180,,,13,4,4,9,12
XA-VAQ,2,1,186,,,18,4,4,21,22
XA-VAO,2,1,186,,,19,4,4,11,14
XA-VAA,1,1,186,,,13,4,4,9,12
9H-SWA,2,1,178,,,16,3,3,12,13
9H-AMV,3,1,178,,,6,2,2,13,13
XA-VIY,2,1,186,,,18,2,2,7,9
9H-MLX,3,1,178,,,6,3,3,13,13
9H-AML,3,1,178,,,21,3,3,9,10
XA-VIH,1,1,186,,,13,1,1,8,10
XA-VBJ,2,1,220,,,7,3,3,6,8
XA-VIY,3,1,186,,,10,3,3,11,14
XA-VBP,3,1,220,,,9,1,1,16,17
XA-VIU,3,3,186,,,5,2,2,18,19
XA-VIY,2,1,186,,,17,4,4,8,9
XA-VAI,3,1,180,,,10,4,4,11,14
XA-VBW,3,1,220,,,9,2,2,16,17
XA-VBM,2,1,240,,,7,4,4,6,8
9H-SWI,3,1,178,,,6,1,1,13,13
9H-MLB,3,1,178,,,6,4,4,13,13
XA-VBP,2,1,220,,,7,1,1,6,8
XA-VIY,3,1,186,,,10,3,3,11,14
XA-VAR,2,1,186,,,17,1,1,16,17
9H-AMI,3,1,178,,,6,3,3,13,13
XA-VII,3,1,186,,,8,4,4,17,18
XA-VYA,3,1,180,,,25,4,4,13,16
9H-MLX,3,1,178,,,6,2,2,13,13
XA-VXM,2,2,240,,,2,1,1,1,6
XA-VIH,1,1,186,,,13,1,1,8,10
XA-VBQ,3,3,220,,,5,1,1,18,19
XA-VXN,2,2,240,,,2,4,4,1,5
XA-VBH,2,1,240,,,16,4,4,14,16
XA-VYA,3,1,180,,,25,4,4,13,16
XA-VAU,2,2,186,,,2,1,1,1,6
9H-AMI,3,1,178,,,21,4,4,16,17
9H-SWB,3,1,178,,,21,4,4,16,17
XA-VYF,2,1,180,,,17,2,2,19,20
XA-VYF,2,1,180,,,7,4,4,4,6
9H-AMV,2,1,178,,,17,3,3,19,20
9H-SWI,3,1,178,,,6,3,3,13,13
XA-VAT,3,1,186,,,9,1,1,7,8
XA-VAU,2,2,186,,,2,1,1,1,6
XA-VXD,2,1,240,,,16,4,4,14,16
XA-VAY,1,1,186,,,13,4,4,9,12
XA-VXF,2,1,240,,,3,4,4,20,21
XA-VAW,3,1,186,,,10,4,4,11,14
XA-VAC,3,1,180,,,10,4,4,11,14
9H-MLY,2,1,178,,,19,4,4,8,10
XA-VAR,3,3,186,,,5,5,5,18,19
XA-VAY,3,1,186,,,6,1,1,13,13
XA-VYB,3,3,180,,,5,4,4,18,19
XA-VBT,2,1,220,,,18,2,2,18,20
XA-VXB,3,1,240,,,22,1,1,9,13
XA-VXP,2,1,240,,,7,1,1,6,8
XA-VXJ,2,2,240,,,2,1,1,17,22
XA-VXC,2,4,240,,,15,3,3,13,15
XA-VIS,2,4,186,,,14,1,1,8,9
XA-VBH,2,1,240,,,16,4,4,14,16
XA-VIN,3,1,186,,,10,3,3,11,14
XA-VXJ,2,2,240,,,2,2,2,1,6
9H-AMJ,3,1,178,,,4,4,4,18,19
XA-VIH,2,1,186,,,3,1,1,18,18
9H-SWJ,3,1,178,,,4,2,2,9,10
XA-VBJ,2,1,220,,,3,4,4,20,21
XA-VXJ,2,2,240,,,2,3,3,1,5
XA-VXK,3,1,240,,,9,1,1,16,17
XA-VAC,3,1,180,,,10,1,1,11,14
XA-VBU,2,1,220,,,19,2,2,11,14
9H-AML,3,1,178,,,4,5,5,18,19
9H-AMV,3,1,178,,,6,3,3,13,13
XA-VIP,3,1,186,,,8,3,3,17,18
XA-VXP,2,2,240,,,2,3,3,1,5
XA-VXG,2,1,240,,,16,1,1,12,12
XA-VBJ,2,1,220,,,7,1,1,7,8
XA-VAT,3,1,186,,,10,2,2,11,14
XA-VYB,3,1,180,,,4,5,5,11,12
XA-VIE,3,1,186,,,10,2,2,11,14
XA-VXO,2,4,240,,,15,3,3,13,15
XA-VAP,1,1,186,,,13,4,4,9,12
9H-SWC,3,1,178,,,6,4,4,13,13
9H-SWF,3,1,178,,,6,2,2,13,13
9H-SWC,3,1,178,,,6,4,4,13,13
9H-SWF,3,1,178,,,6,3,3,13,13
9H-AMJ,2,1,178,,,17,3,3,17,18
XA-VAC,3,1,180,,,10,4,4,11,14
XA-VXJ,2,2,240,,,2,4,4,1,5
9H-AMM,3,1,178,,,21,2,2,9,10
XA-VXL,1,1,240,,,1,1,1,12,14
XA-VXE,2,1,240,,,19,2,2,6,8
9H-SWC,3,1,178,,,6,3,3,13,13
9H-SWA,3,1,178,,,22,3,3,17,20
XA-VAC,3,1,180,,,10,1,1,11,14
XA-VXL,2,4,240,,,15,3,3,13,15
XA-VAP,1,1,186,,,13,4,4,9,12
XA-VBB,2,1,240,,,16,1,1,12,12
XA-VBT,2,4,220,,,15,4,4,14,16
XA-VBM,2,2,240,,,2,2,2,1,6
XA-VBU,2,1,220,,,7,1,1,6,8
XA-VYD,3,1,180,,,26,3,3,21,22
XA-VAU,2,4,186,,,15,1,1,13,15
XA-VAJ,3,1,186,,,4,1,1,9,10
XA-VBP,2,1,220,,,7,1,1,6,8
XA-VAR,2,1,186,,,19,3,3,11,14
XA-VXL,2,1,240,,,7,4,4,6,7
XA-VYB,3,1,180,,,10,4,4,11,13
XA-VXQ,2,2,240,,,2,5,5,1,5
XA-VAC,3,1,180,,,10,1,1,11,14
XA-VXM,2,4,240,,,15,2,2,13,15
XA-VAK,3,3,186,,,5,2,2,18,19
XA-VYA,3,1,180,,,9,3,3,7,9
9H-SWF,3,1,178,,,4,4,4,18,19
9H-MLU,3,1,178,,,6,4,4,13,13
XA-VBJ,2,1,220,,,7,1,1,6,8
XA-VBT,2,1,220,,,17,1,1,19,20
XA-VYB,3,1,180,,,10,4,4,11,14
XA-VIJ,3,1,186,,,10,1,1,11,14
XA-VYA,3,1,180,,,4,1,1,9,10
XA-VAR,3,1,186,,,21,3,3,13,15
9H-SWJ,3,1,178,,,21,3,3,9,10
XA-VYB,3,1,180,,,10,3,3,11,14
XA-VIX,3,1,186,,,10,3,3,11,14
9H-AML,2,1,178,,,19,4,4,8,10
XA-VXM,2,4,240,,,15,2,2,13,15
XA-VBI,2,1,220,,,7,2,2,6,8
XA-VXM,2,4,240,,,15,2,2,13,15
XA-VIE,2,1,186,,,17,3,3,17,18
XA-VBI,2,1,220,,,7,4,4,5,6
XA-VXF,2,2,240,,,2,5,5,1,5
XA-VBW,2,1,220,,,7,2,2,6,8
XA-VAN,3,1,186,,,10,1,1,11,14
XA-VYD,3,1,180,,,25,4,4,13,16
XA-VAU,2,4,186,,,14,2,2,8,9
XA-VBX,2,1,240,,,7,2,2,6,8
9H-AMI,3,1,178,,,6,2,2,13,13
XA-VBH,2,1,240,,,3,5,5,20,21
XA-VBQ,2,1,220,,,7,2,2,6,8
XA-VXA,2,1,240,,,16,1,1,12,12
XA-VIK,3,1,186,,,6,1,1,13,13
XA-VXC,2,1,240,,,19,2,2,6,8
XA-VAV,2,4,186,,,15,1,1,13,15
XA-VIS,2,1,186,,,7,3,3,6,8
XA-VXK,2,2,240,,,2,4,4,1,5
9H-MLY,3,1,178,,,21,2,2,9,10
9H-MLC,3,1,180,,,6,5,5,13,13
XA-VII,3,1,186,,,10,3,3,11,14
XA-VBM,2,1,240,,,3,4,4,20,21
XA-VAM,3,1,180,,,25,4,4,13,16
XA-VYF,2,1,180,,,17,4,4,11,12
XA-VXO,3,1,240,,,9,2,2,17,18
9H-MLX,3,1,178,,,6,2,2,13,13
9H-SWG,2,4,178,,,14,4,4,18,20
XA-VYF,3,1,180,,,10,5,5,11,14
9H-AMI,3,1,178,,,21,4,4,16,17
XA-VXE,2,1,240,,,17,1,1,20,21
XA-VXN,3,3,240,,,5,1,1,18,19
XA-VBN,2,1,220,,,7,3,3,6,8
XA-VAC,3,1,180,,,10,1,1,11,14
9H-SWJ,2,1,178,,,16,3,3,12,13
XA-VXD,2,1,240,,,16,5,5,14,16
9H-MLY,3,3,178,,,5,3,3,18,19
XA-VXO,2,2,240,,,2,4,4,1,5
XA-VAP,3,1,186,,,10,1,1,11,14
XA-VII,3,1,186,,,10,4,4,11,14
XA-VIK,2,1,186,,,19,1,1,11,14
XA-VAY,3,1,186,,,10,2,2,11,14
XA-VYF,3,4,180,,,11,4,4,19,21
XA-VII,3,1,186,,,10,2,2,11,14
XA-VAJ,2,1,186,,,16,3,3,12,13
XA-VAC,3,1,180,,,9,1,1,15,17
XA-VAY,2,4,186,,,14,3,3,8,10
XA-VAT,3,1,186,,,10,1,1,11,14
XA-VBY,2,1,240,,,19,1,1,11,14
9H-SWM,2,1,178,,,19,5,5,8,10
XA-VXE,2,1,240,,,16,4,4,14,16
XA-VXP,2,1,240,,,16,4,4,14,16
XA-VBX,2,4,240,,,15,3,3,13,15
XA-VAM,2,2,180,,,27,5,5,20,23
9H-MLC,2,1,178,,,3,3,3,13,14
XA-VYA,3,1,180,,,25,4,4,13,16
9H-MLY,3,1,178,,,21,2,2,9,10
9H-MLX,3,1,178,,,21,4,4,16,17
XA-VAV,3,1,186,,,9,1,1,10,11
XA-VIK,2,1,186,,,18,5,5,21,22
XA-VAP,3,3,186,,,5,4,4,18,19
XA-VII,2,1,186,,,7,3,3,6,8
XA-VXE,2,1,240,,,7,4,4,6,7
XA-VBI,2,1,220,,,18,1,1,18,20
XA-VBV,2,1,220,,,7,1,1,6,8
XA-VBJ,3,1,220,,,9,3,3,16,18
XA-VYD,3,1,180,,,10,1,1,11,14
XA-VAN,3,1,186,,,21,3,3,13,15
XA-VYA,3,1,180,,,10,3,3,11,14
XA-VXP,2,2,240,,,2,3,3,1,5
9H-SWB,3,1,178,,,21,4,4,16,17
XA-VYA,3,1,180,,,25,4,4,13,16
9H-MLX,3,1,178,,,21,4,4,16,17
XA-VBR,2,2,240,,,2,1,1,1,6
XA-VIS,3,1,186,,,10,5,5,11,14
XA-VXF,2,2,240,,,2,5,5,1,5
XA-VAE,2,1,186,,,18,3,3,7,9
XA-VIS,2,1,186,,,28,4,4,5,7
XA-VXO,2,1,240,,,19,2,2,11,14
9H-AML,2,1,178,,,3,3,3,21,22
XA-VYD,3,1,180,,,10,5,5,11,14
XA-VIP,2,4,186,,,14,1,1,8,9
9H-AMI,3,1,178,,,21,4,4,16,17
XA-VAO,2,3,186,,,29,4,4,15,17
XA-VAE,3,3,186,,,5,4,4,18,19
XA-VXP,2,2,240,,,2,3,3,1,5
9H-MLB,3,1,178,,,6,4,4,13,13
XA-VAA,2,4,186,,,14,4,4,13,15
XA-VIY,2,1,186,,,7,3,3,6,8
XA-VXO,2,2,240,,,2,3,3,1,6
XA-VBW,2,1,220,,,17,1,1,16,17
9H-SWA,2,1,178,,,17,3,3,19,20
XA-VAC,2,1,180,,,19,2,2,6,8
XA-VAI,3,1,180,,,10,1,1,11,14
XA-VIK,2,1,186,,,19,3,3,6,8
XA-VAO,2,4,186,,,14,1,1,8,9
XA-VXH,2,2,240,,,2,2,2,1,6
XA-VAO,2,1,186,,,18,4,4,19,21
9H-SWA,2,1,178,,,16,3,3,12,12
XA-VAV,2,1,186,,,17,4,4,11,12
XA-VIS,3,1,186,,,10,2,2,11,14
9H-AMV,3,1,178,,,6,3,3,13,13
XA-VXP,3,3,240,,,5,1,1,18,19
XA-VAW,2,1,186,,,17,3,3,17,18
XA-VXN,2,4,240,,,15,4,4,14,16
XA-VAQ,2,4,186,,,14,3,3,8,10
XA-VYB,3,3,180,,,5,3,3,18,19
XA-VAN,3,1,186,,,9,1,1,17,18
9H-MLX,3,1,178,,,6,2,2,13,13
XA-VYB,3,1,180,,,10,2,2,11,14
9H-SWM,3,3,178,,,5,2,2,18,19
9H-SWF,3,1,178,,,6,4,4,13,13
9H-SWI,3,1,178,,,6,3,3,13,13
XA-VBW,3,1,220,,,6,1,1,13,13
9H-AMM,3,1,178,,,21,1,1,9,10
9H-SWI,3,1,178,,,6,4,4,13,13
XA-VIL,2,1,186,,,18,2,2,7,9
XA-VAW,3,1,186,,,21,5,5,16,17
9H-SWC,3,1,178,,,6,4,4,13,13
XA-VII,2,1,186,,,7,4,4,6,7
XA-VXR,2,2,240,,,2,4,4,1,5
9H-MLV,3,1,178,,,6,4,4,13,13
9H-SWI,3,1,178,,,6,4,4,13,13
9H-AML,2,1,178,,,18,4,4,20,21
XA-VAW,3,1,186,,,10,4,4,11,14
9H-MLC,3,1,178,,,6,2,2,13,13
XA-VAI,1,1,180,,,13,5,5,9,12
XA-VAC,2,1,180,,,17,2,2,19,20
9H-MLX,3,1,178,,,21,4,4,16,17
XA-VIS,3,1,186,,,22,4,4,14,17
XA-VII,3,1,186,,,10,4,4,11,14
XA-VXL,1,1,240,,,1,1,1,12,14
XA-VBQ,3,3,220,,,5,1,1,18,19
XA-VIS,1,1,186,,,13,2,2,8,10
XA-VBM,2,1,240,,,7,4,4,6,8
XA-VBH,2,1,240,,,7,2,2,6,8
XA-VAP,2,1,186,,,18,2,2,7,9
XA-VYB,3,1,180,,,10,4,4,11,14
9H-MLX,3,1,178,,,21,4,4,16,17
XA-VXD,2,2,240,,,2,4,4,1,5
XA-VXL,2,2,240,,,2,3,3,1,5
XA-VXP,2,1,240,,,18,1,1,7,9
XA-VAO,1,1,186,,,13,2,2,8,10
XA-VIF,3,1,186,,,10,1,1,11,14
XA-VBI,2,1,220,,,7,2,2,6,8
9H-SWI,3,1,178,,,6,4,4,13,13
XA-VAQ,2,1,186,,,7,3,3,6,8
XA-VXM,2,2,240,,,2,3,3,1,6
XA-VAX,3,1,186,,,6,4,4,13,13
XA-VAP,2,1,186,,,7,3,3,6,8
XA-VXJ,2,2,240,,,2,4,4,1,5
XA-VAK,1,1,186,,,13,2,2,8,10
XA-VXI,3,1,240,,,9,3,3,16,18
XA-VYB,3,1,180,,,9,3,3,7,8
XA-VIU,2,1,186,,,19,2,2,6,8
XA-VBW,3,1,220,,,4,4,4,13,14
XA-VBP,2,1,220,,,7,2,2,6,8
XA-VIF,3,1,186,,,10,1,1,11,14
9H-AMP,2,1,178,,,17,1,1,15,16
XA-VBM,2,1,240,,,7,4,4,6,7
9H-SWB,3,1,178,,,21,4,4,16,17
XA-VBJ,2,1,220,,,7,1,1,7,8
XA-VBU,2,1,220,,,7,2,2,6,8
XA-VBI,3,3,220,,,5,1,1,18,19
XA-VAU,2,1,186,,,16,3,3,12,13
XA-VXP,2,2,240,,,2,3,3,1,5
XA-VXI,2,2,240,,,2,2,2,1,6
XA-VAC,3,1,180,,,10,4,4,11,14
XA-VXO,2,2,240,,,2,4,4,1,5
XA-VBP,2,1,220,,,19,1,1,11,14
XA-VBT,2,1,220,,,19,1,1,11,14
XA-VIL,3,1,186,,,10,4,4,11,14
9H-SWJ,3,1,178,,,4,3,3,9,10
XA-VAV,3,1,186,,,10,4,4,11,14
9H-MLB,3,1,178,,,6,4,4,13,13
9H-MLC,3,1,180,,,4,3,3,9,10
XA-VYA,3,1,180,,,10,3,3,11,14
XA-VII,1,1,186,,,13,4,4,9,12
9H-MLY,3,1,178,,,21,3,3,9,10
9H-MLC,3,1,178,,,6,2,2,13,13
XA-VXC,2,1,240,,,16,4,4,14,16
XA-VIP,2,2,186,,,2,1,1,1,6
XA-VXM,2,2,240,,,2,2,2,1,6
XA-VXK,2,1,240,,,7,2,2,6,8
XA-VBU,2,1,220,,,18,1,1,7,9
XA-VXK,2,4,240,,,15,4,4,14,16
XA-VAI,2,1,180,,,16,2,2,12,12
XA-VBT,3,3,220,,,5,4,4,18,19
9H-AMP,3,1,178,,,4,4,4,18,19
XA-VIH,3,3,186,,,5,3,3,18,19
XA-VIX,3,1,186,,,9,3,3,7,9
XA-VAP,2,4,186,,,14,2,2,8,9
XA-VBU,2,1,220,,,7,2,2,6,8
XA-VAY,2,1,186,,,7,2,2,6,8
XA-VYE,2,1,180,,,19,1,1,11,14
XA-VIY,3,1,186,,,10,2,2,11,14
9H-MLX,3,1,178,,,6,2,2,13,13
XA-VAV,2,1,186,,,18,3,3,20,21
XA-VIE,2,1,186,,,18,2,2,7,9
XA-VBP,3,3,220,,,5,1,1,18,19
XA-VYB,3,1,180,,,10,3,3,11,14
XA-VXN,2,1,240,,,16,5,5,14,16
XA-VAW,2,2,186,,,2,1,1,1,6
XA-VIK,3,1,186,,,25,4,4,13,16
XA-VXO,2,1,240,,,3,4,4,20,21
XA-VII,3,1,186,,,9,2,2,7,9
XA-VXM,2,1,240,,,7,4,4,6,8
XA-VBV,2,1,220,,,18,4,4,21,22
XA-VYA,3,1,180,,,10,3,3,11,14
XA-VXK,2,1,240,,,7,2,2,6,8
9H-SWI,3,1,178,,,6,3,3,13,13
XA-VIS,3,1,186,,,8,2,2,17,18
XA-VXF,2,1,240,,,3,4,4,20,21
XA-VBH,3,3,240,,,5,1,1,18,19
9H-MLX,3,1,178,,,21,4,4,16,17
XA-VIA,3,1,186,,,6,1,1,13,13
XA-VXM,2,4,240,,,15,3,3,13,15
XA-VBT,3,1,220,,,22,4,4,14,17
XA-VXN,2,1,240,,,3,3,3,21,22
XA-VIK,3,1,186,,,10,1,1,11,14
XA-VIE,3,1,186,,,9,3,3,7,8
XA-VYA,2,1,180,,,18,4,4,21,22
XA-VBP,2,1,220,,,3,3,3,13,14
9H-MLV,3,1,178,,,22,3,3,15,19
XA-VAY,2,1,186,,,28,4,4,5,7
9H-AMM,3,1,178,,,12,4,4,19,20
XA-VXJ,2,1,240,,,19,3,3,12,14
9H-SWC,3,1,178,,,6,4,4,13,13
XA-VBS,2,1,240,,,19,1,1,11,14
XA-VAO,2,1,186,,,19,4,4,11,14
XA-VIS,3,1,186,,,9,2,2,17,18
XA-VIK,1,1,186,,,13,4,4,9,12
XA-VII,3,1,186,,,10,4,4,11,14
XA-VIH,2,2,186,,,27,4,4,14,18
XA-VAN,2,1,186,,,16,1,1,12,12
XA-VIN,2,1,186,,,18,4,4,19,21
XA-VAA,3,3,186,,,5,2,2,18,19
XA-VBT,2,2,220,,,2,1,1,1,6
XA-VIU,3,1,186,,,10,3,3,11,14
9H-MLY,3,1,178,,,4,3,3,9,10
XA-VIY,3,1,186,,,21,1,1,9,10
XA-VIP,1,1,186,,,13,4,4,9,12
XA-VYB,2,1,180,,,17,4,4,11,12
XA-VBA,2,1,240,,,17,1,1,19,20
XA-VBJ,2,1,220,,,7,3,3,6,8
XA-VBW,2,1,220,,,3,4,4,20,21
XA-VIE,3,1,186,,,10,2,2,11,14
XA-VBP,2,1,220,,,7,1,1,6,8
XA-VAI,1,1,180,,,13,4,4,9,12
XA-VXF,2,4,240,,,15,3,3,13,15
9H-SWB,3,1,178,,,4,1,1,9,10
9H-MLV,3,3,178,,,5,3,3,18,19
XA-VYB,3,1,180,,,10,4,4,11,14
XA-VXK,2,1,240,,,7,1,1,6,8
9H-SWA,3,3,178,,,5,3,3,18,19
XA-VII,3,1,186,,,10,4,4,11,14
XA-VIP,3,1,186,,,10,3,3,11,14
XA-VXC,2,2,240,,,2,3,3,1,5
9H-MLV,3,1,178,,,21,2,2,9,10
XA-VBP,2,1,220,,,7,1,1,6,8
XA-VXP,2,2,240,,,2,4,4,1,5
XA-VBJ,2,1,220,,,18,3,3,20,21
XA-VXC,2,1,240,,,16,4,4,14,16
9H-SWA,2,1,178,,,16,3,3,12,12
9H-MLY,3,1,178,,,4,4,4,18,19
XA-VAN,2,1,186,,,19,2,2,11,14
9H-SWJ,2,1,186,,,17,2,2,17,18
XA-VAW,2,2,186,,,2,1,1,1,6
XA-VXI,2,1,240,,,19,1,1,11,14
XA-VAY,3,1,186,,,10,2,2,11,14
9H-SWC,3,1,178,,,6,4,4,13,13
XA-VYD,3,1,180,,,9,1,1,7,8
XA-VBJ,2,1,220,,,7,3,3,6,8
XA-VBH,2,1,240,,,19,3,3,12,14
XA-VBM,2,2,240,,,2,2,2,1,6
XA-VAI,3,1,180,,,25,4,4,13,16
XA-VAV,3,1,186,,,12,4,4,7,8
XA-VAV,2,1,186,,,16,3,3,12,13
9H-MLV,3,1,178,,,21,3,3,9,10
XA-VBQ,2,1,220,,,7,3,3,6,8
XA-VAC,3,1,180,,,10,4,4,11,14
XA-VIE,2,1,186,,,16,2,2,12,12
XA-VIS,2,4,186,,,14,3,3,8,10
XA-VBT,2,1,220,,,18,1,1,18,20
XA-VYA,2,1,180,,,7,3,3,6,8
XA-VAQ,3,1,186,,,22,4,4,14,17
9H-AMM,3,1,178,,,4,2,2,9,10
XA-VIE,3,1,186,,,10,2,2,11,14
XA-VAI,1,1,180,,,13,3,3,8,11
XA-VXE,2,2,240,,,2,2,2,1,6
XA-VBP,2,1,220,,,7,2,2,6,8
XA-VIS,3,1,186,,,10,2,2,11,14
XA-VIS,3,1,186,,,9,2,2,7,9
XA-VAR,3,1,186,,,21,1,1,9,10
9H-MLX,3,1,178,,,4,4,4,18,19
XA-VBI,2,1,220,,,19,2,2,11,14
XA-VYE,2,2,180,,,2,1,1,1,6
XA-VXG,2,1,240,,,18,1,1,18,20
XA-VIX,3,1,186,,,10,3,3,11,14
9H-MLV,3,1,178,,,4,3,3,9,10
XA-VAR,3,3,186,,,5,4,4,18,19
XA-VXI,2,2,240,,,2,2,2,1,6
XA-VIF,3,1,186,,,10,1,1,11,14
9H-MLC,3,1,178,,,6,1,1,13,13
XA-VAE,3,1,186,,,10,3,3,11,14
9H-MLV,3,1,178,,,6,4,4,13,13
XA-VIL,3,1,186,,,9,1,1,17,18
XA-VBX,2,1,240,,,3,1,1,21,22
9H-MLV,2,1,178,,,19,4,4,8,10
XA-VAX,3,3,186,,,5,2,2,18,19
9H-AMP,2,1,178,,,3,3,3,13,14
XA-VAY,3,1,186,,,6,1,1,13,13
9H-MLX,3,1,178,,,21,4,4,16,17
XA-VXM,2,2,240,,,2,2,2,1,6
9H-SWF,3,1,178,,,6,4,4,13,13
XA-VXF,2,2,240,,,2,1,1,17,22
XA-VIN,2,1,186,,,17,5,5,11,12
XA-VBI,2,1,220,,,7,3,3,6,8
XA-VBH,2,1,240,,,7,4,4,6,8
XA-VXF,2,2,240,,,2,1,1,1,6
9H-AMP,3,1,178,,,21,2,2,9,10
XA-VAP,3,1,186,,,10,3,3,11,14
XA-VIL,2,1,186,,,3,2,2,18,18
XA-VIF,3,1,186,,,10,1,1,11,14
XA-VXN,1,1,240,,,1,1,1,12,14
XA-VIY,2,1,186,,,3,4,4,20,21
9H-AMV,3,1,178,,,21,1,1,9,10
XA-VAW,3,1,186,,,25,5,5,13,16
XA-VXK,2,2,240,,,2,4,4,1,5
XA-VBH,2,1,240,,,7,2,2,6,8
9H-AMM,2,1,178,,,17,3,3,19,20
XA-VAX,1,1,186,,,13,4,4,9,12
XA-VXG,2,1,240,,,7,1,1,7,8
XA-VAN,3,1,186,,,8,4,4,17,18
XA-VBT,2,1,220,,,7,2,2,6,8
XA-VAC,3,1,180,,,10,1,1,11,14
XA-VBV,2,1,220,,,7,1,1,6,8
9H-SWC,3,1,178,,,6,3,3,13,13
9H-SWM,2,1,178,,,19,4,4,8,10
XA-VAI,3,1,180,,,25,4,4,13,16
XA-VAR,3,1,186,,,21,3,3,13,15
9H-MLB,3,1,178,,,6,3,3,13,13
XA-VXN,2,4,240,,,15,4,4,14,16
XA-VBI,2,1,220,,,7,1,1,6,8
XA-VAK,2,4,186,,,14,1,1,18,20
XA-VAW,1,1,186,,,13,1,1,8,10
9H-AMI,3,1,178,,,21,3,3,9,10
XA-VBS,2,1,240,,,3,1,1,21,22
XA-VXP,2,2,240,,,2,3,3,1,6
9H-MLU,3,1,178,,,6,4,4,13,13
XA-VAI,3,1,180,,,25,4,4,13,16
XA-VXP,2,2,240,,,2,2,2,1,6
XA-VXN,2,1,240,,,16,2,2,12,12
XA-VYF,3,1,180,,,10,1,1,11,14
XA-VII,2,1,186,,,7,3,3,6,8
XA-VXL,2,2,240,,,2,1,1,10,15
